,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420,4,2,3,1,0,0,0,1,2,1,0
1,12250000,8960,4,4,4,1,0,0,0,1,3,0,0
2,12250000,9960,3,2,2,1,0,1,0,0,2,1,1
3,12215000,7500,4,2,2,1,0,1,0,1,3,1,0
4,11410000,7420,4,1,2,1,1,1,0,1,2,0,0
5,10850000,7500,3,3,1,1,0,1,0,1,2,1,1
6,10150000,8580,4,3,4,1,0,0,0,1,2,1,1
7,10150000,16200,5,3,2,1,0,0,0,0,0,0,2
8,9870000,8100,4,1,2,1,1,1,0,1,2,1,0
9,9800000,5750,3,2,4,1,1,0,0,1,1,1,2
10,9800000,13200,3,1,2,1,0,1,0,1,2,1,0
11,9681000,6000,4,3,2,1,1,1,1,0,2,0,1
12,9310000,6550,4,2,2,1,0,0,0,1,1,1,1
13,9240000,3500,4,2,2,1,0,0,1,0,2,0,0
14,9240000,7800,3,2,2,1,0,0,0,0,0,1,1
15,9100000,6000,4,1,2,1,0,1,0,0,2,0,1
16,9100000,6600,4,2,2,1,1,1,0,1,1,1,2
17,8960000,8500,3,2,4,1,0,0,0,1,2,0,0
18,8890000,4600,3,2,2,1,1,0,0,1,2,0,0
19,8855000,6420,3,2,2,1,0,0,0,1,1,1,1
20,8750000,4320,3,1,2,1,0,1,1,0,2,0,1
21,8680000,7155,3,2,1,1,1,1,0,1,2,0,2
22,8645000,8050,3,1,1,1,1,1,0,1,1,0,0
23,8645000,4560,3,2,2,1,1,1,0,1,1,0,0
24,8575000,8800,3,2,2,1,0,0,0,1,2,0,0
25,8540000,6540,4,2,2,1,1,1,0,1,2,1,0
26,8463000,6000,3,2,4,1,1,1,0,1,0,1,1
27,8400000,8875,3,1,1,1,0,0,0,0,1,0,1
28,8400000,7950,5,2,2,1,0,1,1,0,2,0,2
29,8400000,5500,4,2,2,1,0,1,0,1,1,1,1
30,8400000,7475,3,2,4,1,0,0,0,1,2,0,2
31,8400000,7000,3,1,4,1,0,0,0,1,2,0,1
32,8295000,4880,4,2,2,1,0,0,0,1,1,1,0
33,8190000,5960,3,3,2,1,1,1,0,0,1,0,2
34,8120000,6840,5,1,2,1,1,1,0,1,1,0,0
35,8080940,7000,3,2,4,1,0,0,0,1,2,0,0
36,8043000,7482,3,2,3,1,0,0,1,0,1,1,0
37,7980000,9000,4,2,4,1,0,0,0,1,2,0,0
38,7962500,6000,3,1,4,1,1,0,0,1,2,0,2
39,7910000,6000,4,2,4,1,0,0,0,1,1,0,1
40,7875000,6550,3,1,2,1,0,1,0,1,0,1,0
